feature,importance_rf,importance_xgb,rfe_selected,chi2_selected
age,0.08456564179259903,0.03754669,0,1
sex,0.03357659923598858,0.051032312,1,1
cp,0.12806296643179488,0.23965421,1,1
trestbps,0.07195109210396337,0.03229363,1,0
chol,0.08207800723516967,0.025354775,0,0
fbs,0.009098864987967522,0.019578867,0,0
restecg,0.01999475444887552,0.033505484,1,1
thalach,0.1286044438175436,0.03174885,1,1
exang,0.0601173724673565,0.08089424,1,1
oldpeak,0.1045144288938726,0.042465504,1,1
slope,0.044211514600360685,0.0391474,1,1
ca,0.11719755788310234,0.11613702,1,1
thal,0.11602675610140582,0.25064102,1,1
